"een meer","a lake"
"een broodje","a roll"
"eigenlijk","actually"
"middag","afternoon"
"opnieuw","again"
"bijna","almost"
"al","already"
"altijd","always"
"en","and"
"antwoorden","answer"
"arriveren","arrive"
"vragen","ask"
"thuis","at home"
"eindelijk","at last"
"'s nachts","at night"
"onmiddellijk","at once"
"op het station","at the central station"
"tante","aunt"
"Oostenrijk","Austria"
"wakker","awake"
"slecht","bad"
"heten","be called"
"mooi","beautiful"
"omdat","because"
"daarom","because of this"
"bier","beer"
"zwart","black"
"beide","both"
"brood","bread"
"maar","but"
"met de bus","by bus"
"met de metro","by subway"
"doei / tot ziens","bye"
"opbellen","call"
"overstappen","change"
"kaas","cheese"
"koffie","coffee"
"koud","cold"
"komen","come"
"kosten","cost"
"creme","cream"
"verdomme","damn"
"dansen","dance"
"doen","do"
"onder","down"
"drinken","drink"
"makkelijk","easy"
"acht","eight"
"lift","elevator"
"genoeg","enough"
"alles","everything"
"overal","everywhere"
"erg goed","excellent"
"vinden","find"
"vinden","find"
"vuur","fire"
"passen","fit"
"vijf","five"
"voor haar","for her"
"voor hem","for him"
"voor jou","for you"
"voor jullie (meervoud)","for you (plural)"
"vier","four"
"vrij","free"
"waar vandaan","from where"
"tanken","fuel"
"functioneren","function"
"benzine","gasoline"
"Duits","German"
"Duitsland","Germany"
"naar de bioscoop gaan","go to the movies"
"goede morgen","good morning"
"tot ziens","goodbye"
"half twee","half past one"
"hij komt","he comes"
"hij rijdt","he drives"
"hij geeft","he gives"
"hij heeft","he has"
"hij moet","he has to"
"hij is","he is"
"hij pakt op","he picks up"
"hij rent","he runs"
"hij ziet","he sees"
"hij neemt","he takes"
"hij praat","he talks"
"hij wil","he wants to"
"horen","hear"
"hier","here"
"hallo","hi"
"hoog","high"
"huis","home"
"hopen","hope"
"hoe","how"
"hoe gaat het","how are you"
"ik heb honger","I am hungry"
"ik heb dorst","I am thirsty"
"ik geloof","I believe"
"ik kan","I can"
"ik kom","I come"
"ik heb","I have"
"ik weet","I know"
"ik mag","I may"
"ik moet","I must"
"ik zie","I see"
"ik zit","I sit"
"ik neem mee","I take along"
"ik wil","I want to"
"ik wil graag","I would like"
"ik zou graag","I would love to"
"ijs","ice-cream"
"ziek","ill"
"wacht even","in a moment"
"in de zomer","in summer"
"in Zwitserland","in Switzerland"
"in de winter","in winter"
"kennen","know"
"weten","know"
"laat","late"
"later","later"
"lui","lazy"
"weggaan","leave"
"links","left"
"sla","lettuce"
"liegen","lie"
"kijken","look"
"man","man"
"misschien","maybe"
"melk","milk"
"morgen","morning"
"muziek","music"
"mijn vriendin","my girlfriend"
"mijn achternaam","my surname"
"natuurlijk","naturally"
"nodig hebben","need"
"negen","nine"
"geen","no"
"nee","no"
"nee, dank u","no thank you"
"niet","not"
"helemaal niet","not at all"
"nog niet","not yet"
"helemaal niets","nothing at all"
"nu","now"
"bezet","occupied"
"oud","old"
"een momentje","one moment"
"alleen","only"
"open","open"
"open","open"
"of anders","or else"
"daar","over there"
"pardon","pardon"
"betalen","pay"
